评论,品质,味道,价格,分量,外观,物流,客服,粗粒度
价格比较优惠，包装完整无缺，没有破损。柚子个个很新鲜，饱满多肉多汁，而且酸中带甜，甜中有酸，口感不错。物流速度很快，到货及时通知领取，快递员送货上门。商家服务态度好，买了有两百斤了，质量都不错的，值得推荐。,2,1,1,2,1,1,1,1
快递物流速度及时，短信通知领取，快递员也是准时送货上门。包装很好，完整，没有破损。柚子都很新鲜，多肉多汁，甜中有酸，口感不错。已多次购买，质量很好。,1,1,2,2,1,2,2,1
物流速度很快，到货及时通知领取，快递员送货上门。价格比较优惠，包装完整无缺，没有破损。柚子个个很新鲜，饱满多肉多汁，而且酸中带甜，甜中有酸，口感不错。值得推荐购买。,2,1,1,2,1,1,2,1
物流速度很快，包装干净完整无缺，快递员送货上门。柚子果皮非常新鲜，个个都很饱满沉重。果肉多汁多水分，酸甜可口，商家服务态度也是不错的。中秋买来送亲朋好友，已连续几年都在这个商家购买，值得推荐。希望商家继续把握质量关，为人民百姓继续提供好柚子。,1,2,1,2,1,1,1,1
第一次在京东的商店里买柚子，挺大个，还没吃，准备打开和家人一起享用，感觉挺好的，收到快递的速度也很快，吃好了下次再来，谢谢商家包装很完整,2,2,2,2,1,2,2,1
柚子很大，皮薄肉厚，酸酸甜甜，也没有坏果，水分很足，是正宗的梅州蜜柚，体验不错，价格也很实惠，非常推荐大家购买，十斤装的，每个差不多五斤，很饱满。,1,2,1,2,2,2,1,1
好吃好吃！水分充足还很甜个头也大，买了很多次寄给同学朋友亲戚们尝尝，她们说我买到的是报恩柚子,1,2,2,2,2,2,2,1
好吃好吃！水分充足还很甜个头也大，买了很多次寄给同学朋友亲戚们尝尝，她们说我买的是报恩柚子,1,2,2,2,2,2,2,1
好吃好吃，水分充足还很甜，都不知道回购多少次了，寄给同学朋友都尝尝，他们说我买的是报恩柚子,1,2,2,2,2,2,2,1
，根本就不是红心果肉，欺骗消费者，,1,2,2,2,2,2,2,0
货很好吃很甜水份很足非常满意,2,2,2,2,2,2,2,1
好吃、果也很大，运输快，服务好,2,2,2,2,2,2,2,1
挺好，甜，水份足，已多次购买,2,2,2,2,2,2,2,1
差劲,2,2,2,2,2,2,2,0
水果比较新鲜，质量很好，物流很快。,2,2,1,2,1,1,2,1
好吃，不贵,2,2,2,2,2,2,2,1
商家发货及时，收到货物与商家宣传一致，值得点赞！,2,2,2,2,2,1,1,1
下次继续购,2,2,2,2,2,2,2,1
太难吃，千万别买！！！！没吃过这么难吃的柚子！！！！,0,2,2,2,2,2,2,0
超级好吃，水分很足的，皮也薄肉又甜，还容易扒干净，孩子们都很喜欢吃，停不下来，话不多说，值得冲，物美价廉，买不了吃亏买不了上当，走过路过不要错过，错过必定后悔哈哈哈哈，一会就炫了半个,2,2,1,2,2,2,2,1
商家服务态度好，已连续多年购买了。还是一样的甜美。物流速度很快，到货及时通知领取。包装完整，没有破损。价格优惠，肉质饱满，酸中带甜，水分充足，一家大小都喜欢吃，很新鲜的柚子。,1,2,1,1,1,2,1,1
收到货了，快递很快，柚子很大，有个，开出来后，水份很多，酸甜可口，第一次大量购买这个店的，没有失望，很不错，家人吃和顺带送亲戚，都很好，值得购买，下次还会回购。,1,2,1,2,2,2,2,1
打开以后，里面有两个红心柚子，其中一个大一个小，今天把大的剥开，味道还是很不错的，一口气吃了半个，家里人说性价比还是很高的，吃着清香可口，剥开皮薄肉多，汁水也多，皮也很好剥价格还这么实惠吃起来很好吃。酸甜可口，肉厚汁多，宝宝也爱吃，性价比高，以后会经常光顾,2,1,1,2,2,2,2,1
货已收到了，速度很快啊，包装很完好，个头很大，皮很厚，肉较甜，。两个八斤七两，拿承诺的到斤略有偏小，希望能做得更好些,2,2,2,1,1,2,2,1
柚子比市场卖的都便宜，不错，而且柚子水分充足，一口咬下去满满的汁水真心好吃，肉厚汁多颗粒饱满，打开的时候有属于它独特的果香，喜欢这家的梅州蜜柚,1,2,1,2,2,2,2,1
该说不说，柚子不错，水份足！是正宗的梅州柚！之前吃过梅州柚子，就是这个味道。先买了两个尝下，准备下单多买几个中秋节吃！好评！期待下次买的依旧好吃！,1,2,2,2,2,2,2,1
在网上看了几家，现在正好吃水果的季节，柚子是首先，最后还是选了这家，性价比很高，是给家里老人买的，听说不错，果肉红，口感甜而多汁，皮也不厚开，大家都喜欢吃。,1,1,1,2,2,2,2,1
这家店真心做的不错，买的柚子比超市店里面买的好太多了，水分足甘甜口渴都是新鲜采摘的柚子，包装跟物流的很好很快还会继续推荐购买他们家的,1,2,1,2,1,2,2,1
一箱两个，个头挺大的，总感觉没有十斤，果肉水分很足，味道挺好，甜中有些微酸，总体感觉不错，快递也很快。,2,1,1,0,2,2,2,2
好吃，质量不错，大品牌值得信赖，值得推荐！！！,2,2,2,2,1,2,2,1
货很好很有味道水很足,2,2,2,2,2,2,2,1
一共三个柚子，其中最大的那个看起来是好的，吃起来很苦，坏了，根本吃不了，浪费,2,0,2,2,2,2,2,0
这是第二次购买，很不错，,2,2,1,2,2,2,2,1
买了三箱，第一次吃水分又多皮又薄，非常好薄，后面买的还没有吃，,2,2,1,2,2,2,2,1
没味道，包装全坏，挺差挺差,2,0,2,2,0,2,2,0
第二次购买，很好吃比较软，水分多,1,2,2,2,2,2,2,1
好吃好吃，下次在买买买，柚子我好喜欢吃的水果,1,2,2,2,2,2,2,1
已经收到，二至四个，只有三个，口味蛮好,2,2,2,2,2,2,2,1
水分足，不错的，，，，，,1,2,1,2,2,2,2,1
服务态度好，物美价廉，值得购买,2,2,2,2,2,2,1,1
好吃，一直买这家店的,2,2,2,2,2,2,2,1
他们家的柚子挺好吃的，挺甜。第二次又买了四个。,1,2,2,2,2,2,2,1
他们家的柚子挺好吃的，挺甜。第一次买了四个。,1,2,2,2,2,2,2,1
非常好吃，下次继续购买,2,2,2,2,2,2,2,1
很好吃很喜欢还会再来买的推荐很新鲜的味道水果很鲜鲜很好吃的味道推荐哦,2,1,1,2,2,2,2,1
颜色漂亮，口感细腻吃起来酸酸甜甜的。个头均匀饱满美容养颜反正是我能一直买下去是为了减肥买来吃的吃起来很甜，，水分大皮薄，果肉饱满，比我常买的那个超市要好很多。味道酸酸甜甜的，比较便宜很喜欢的哈哈哈哈爱了爱了呢，超级喜欢呢多吃点均衡下营养！,1,1,2,1,2,2,2,1
柚子都差不多吃完了才来评价和水分很足好吃。价格这么优惠，可以放心购买。吃完了还想再拍一单。,1,2,1,2,2,2,2,1
快递非常快，商家服务好，包装邮寄非常细心，没有坏的，个个饱满，皮薄肉厚，非常甜，好吃，下次继续买,2,2,2,2,1,2,1,1
柚子很好吃，水份充足，也很甜,1,2,2,2,2,2,2,1
物美价廉好评还会回购好快就收到了非常棒很好吃大人小孩都喜欢好评好评好评好评很优惠京东大平台,2,2,2,2,2,2,2,1
第二次购买，份量足，内外颜色很正，味道好，不单只是大人爱吃，挑食严重的小朋友吃亦,2,1,2,2,2,2,2,1
宝贝收到咯，真的很棒呀！快递速度杠杠的，包装完整，宝贝酸甜可口，水分充足，大人小孩都喜欢，现在是吃柚子的好季节，会推荐给朋友，会回购，五星好评必须滴,1,2,2,2,1,2,2,1
顺丰发货物流快，就是斤数似乎不足。,2,2,2,2,2,2,2,0
干巴没水分，还不够秤，买斤结果加箱子才斤,1,2,2,1,2,2,2,0
可以，好吃,2,2,2,2,2,2,2,1
柚子真的好吃今年笫年买了以后还到他家买,1,2,2,2,2,2,2,1
好吃，皮薄肉多汁，一下子就吃完一个了，再来,2,2,2,2,2,2,2,1
快递给力，东西别喜欢吃,2,2,2,2,2,2,2,1
柚子跟外面水果店一样，网上的便宜多了，香甜又多汁,2,2,2,2,2,2,2,1
货真价实，很甜，包装完整，值得信赖的产品，还会回购的,2,2,2,2,1,2,2,1
重复购买了很多次了，朋友反馈也挺好的！值得,2,2,2,2,2,2,2,1
水份多，很甜，皮薄。,2,2,2,2,2,2,2,1
在这网购方便快捷，品质放心，还会光顾！物流很快，物品完好无损，用起来很舒服，喜欢物超所值，话不多说，这四个字已经说明了一切包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心,1,2,2,2,1,1,1,1
很好吃，肉很软细腻，很甜,2,2,1,2,2,2,2,1
不错，新鲜且味道甜美,2,1,1,2,2,2,2,1
这是红肉蜜柚吗？？？？？？,2,2,2,2,2,2,2,1
总体还行吧，就是寄过来的柚子太大了，跟客服沟通了以后原来可以备注多少个，明年再买吧！今年的蜜柚已经过季了！,1,2,2,2,2,2,2,1
实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦,2,2,2,2,1,2,2,1
挺不错，孩子特别喜欢吃，准备二次复购,2,2,1,2,2,2,2,1
梅州沙田柚，确实很好吃。,2,2,2,2,2,2,2,1
共有个个头挺大的,2,2,2,1,2,2,2,1
梅州蜜柚，值得信赖，特别特别好吃，水份很足，也不会酸，好评！可以冲！,2,2,2,2,2,2,2,1
多补充维生素，果肉红润爆满，水分充足，关键还很容易剥皮，果肉一片片很完整，果子都很新鲜，也很赞，水分很多，满嘴爆汁，还特别甜，这个季节吃着甜甜的不错的。皮薄肉厚，酸酸甜甜，吃一口水分也很足，真的太棒了。秋季天气干燥，可以常吃些柚子，果肉多水多好吃，一口下去太满足太爽口了,1,2,1,2,2,2,2,1
自从朋友介绍了这家店铺，这年都在这里买柚子，柚子物美价廉，酸甜可口，皮薄，易剥，朋友圈的同事吃过了都会回购的，顺丰物流，非常快，很好！,2,2,2,2,2,1,2,1
我是客家人，靠近平远县，七八年没有吃梅州蜜柚在京东搜索找到的，柚子很好吃，柚子新鲜还是以前那种柚味，送朋友三个都说好吃，,1,2,2,2,2,2,2,1
从光泽度来看就很新鲜，打开后柚子的果肉粒粒分明，很饱满，吃下去也感觉水分很足，酸甜可口，让人忍不住吃了一个还想吃第二个。很值得跟家人分享！,2,2,1,2,2,2,2,1
柚子收到，水分很好非常好吃，入口很甜后味开始酸甜值得购买。之前发货拖了几天很商家沟通后完美解决发了顺丰，物流快，包装好，谢谢商家谢谢京东！,1,2,1,2,1,1,2,1
还没吃不知道怎么样，带箱斤，克我很相信京东，没想到京东也有确斤短两,2,2,2,1,2,2,2,1
非常满意的一次购物体验，食物非常新鲜，比超市便宜多了，性价比超高的！非常满意的一次购物体验，食物非常新鲜，比超市便宜多了，性价比超高的！非常满意的一次购物体验，食物非常新鲜，比超市便宜多了，性价比超高的！,2,2,1,2,2,2,1,1
京东上买了好多次的红心柚子，果肉是红红的看着挺有食欲的。水分很足。很甜。现在正是吃柚子的季节。家里大人小孩都喜欢吃。每次都买好几个。,2,2,2,2,2,2,2,1
柚子很好吃，很甜，值得购买,1,2,2,2,2,2,2,1
苦的，这不是梅州柚子,0,2,2,2,2,2,2,0
这个颜色很喜欢，摸起来质感不错，百搭～包装也很大气，用来送人的话也是不错的选择,1,2,1,2,2,2,2,1
味道不错，酸甜还可以。如果有白肉更好吃哦,2,1,2,2,2,2,2,1
整体感觉不错，成熟度还可以，甘甜可口，皮不算厚，比较好剥。,2,2,1,2,2,2,2,1
物美价廉，值得购买，物流很快，服务态度很好,2,2,2,2,2,2,1,1
品质保证！放心购买！,1,2,1,2,2,2,2,1
水分足，口感非常不错,1,1,2,2,2,2,2,1
柚子口感不错，水份充足,2,1,2,2,2,2,2,1
没啥味道不好吃,2,2,2,2,2,2,2,0
味道很好吃，买了四五次了,2,1,2,2,2,2,2,1
开吃都是苦的，不熟一样，不好吃那去喂鸡了,2,2,2,2,2,2,2,1
水份充足，甜度也很合我们的口感！给一个赞。,2,2,2,2,2,2,2,1
很好吃，香甜酸度都合适,2,2,2,2,2,2,2,1
皮比较厚，肉质不是细腻的那种，甜度一般,2,0,1,2,2,2,2,2
宝贝已收到了，真好吃，又酸又甜，水分特别多，真的是太好吃了，吃完了再来回购。赞赞赞,1,2,2,2,2,2,2,1
个头非常小，水分不行，肉少，还酸，没几个很好，没有坏的，柚子味很浓郁，非常不行的水果，看来我真的是买错了，比在水果店里口感差但是比水果店便宜多了。非常乐色，买水果最不好的一次，他家的水果不行。但京东发货快，当天下单，第二天就收到货，特别推荐京东快递！,2,0,2,0,2,1,1,2
柚子水分足很好吃物流速度快快递员服务态度好值得,1,2,2,2,2,2,1,1
怎么说呢，就这个柚子非常的好，而且客服还发顺丰快递，保存的非常非常非常非常好，客服人也很好。我直接爱了。然后呢，这个水果柚子也非常的好吃非常甜。奈斯,1,2,2,2,2,2,2,1
不记得是第几次购买，家长都很喜欢吃柚子，红心柚的果肉多汁新鲜，口感好吃完还会再购买的,2,1,1,2,2,2,2,1
这柚子我每年都买几个，今年买的非常好，价格便宜口感还非常好，皮薄肉也非常甜，快递也非常好没有一点破损非常满意，明年继续购买。,2,1,2,2,2,2,2,1
母亲喜欢吃柚子，每年的九月十月，我都会在网上给母亲买一点寄给他老人家，母亲收到后很开心，这家的红心柚子我是第二次买了，母亲说柚子水分子足，甜度也好，她很喜欢。京东上有些商家确实很不错，能买到很多令人惊喜的食品，,2,1,2,2,2,2,1,1
多次回购，超级美味多汁。孩子和老人家都很喜欢这纯正的口味。口感细腻。快递超级给力，快递小哥服务很贴心。点赞,2,1,2,2,2,2,2,1
柚子挺好的，非常的不错，可甜可甜的，物流速度快，建议大家购买。,1,2,1,2,2,2,2,1
很好吃，今年复购了几百斤,2,2,2,2,2,2,2,1
很好吃，复购了十几次,2,2,2,2,2,2,2,1
复购十几次，值得一试,2,2,2,2,2,2,2,1
很好吃，你值得购买！,2,2,2,2,2,2,2,1
很好吃的一家，值得购买,2,2,2,2,2,2,2,1
味道非常棒，值得推荐！,2,2,2,2,2,2,2,1
本来只是想买几个试试的，收到之后出乎预料，果断复购了，今年累积复购超斤，值得推荐！,2,2,2,1,2,2,2,1
柚子很大个，每个都很新鲜，皮薄很好剥，果肉又红又甜，水分充足，第一次在网上买柚子，非常满意,1,2,1,2,2,2,2,1
很好吃，多汁。,2,2,2,2,2,2,2,1
皮厚味苦垃圾至极,2,2,2,2,2,2,2,1
柚子挺好吃的，也很甜，没有烂，个个都挺大的,1,2,2,2,2,2,2,1
柚子口感不错，就是下次商家记得放开柚子器！,2,1,2,2,2,2,2,1
水分很足买了三次了挺良心的,1,2,2,2,2,2,2,1
红柚子水分足，脆甜，值得购买。,1,2,2,2,2,2,2,1
一个味道不好吃,2,2,2,2,2,2,2,1
比起以前吃过的梅州柚，味道还差一点,2,0,2,2,2,2,2,1
没想到发的顺丰，好吃的很,2,2,2,2,2,2,2,1
这柚子好吃五星好评我还复购了,2,2,2,2,2,2,2,1
今年第一次买到这么好的柚子值得为它鼓掌，柚子实在水分充足，果粒饱满非常甜！柚子的新鲜度是我目前买到最新鲜的！下次再次回购。,1,2,1,2,2,2,2,1
多次回购了，柚子非常好，香甜可口，物美价廉，以后还会继续来的。,1,2,2,2,2,2,2,1
已经在这家买了几年货了，朋友家吃过后，非常好吃，要了链接，每年到了季节就回购的，柚子，浓浓的柚子香味，小果也很好，皮很薄，肉还是很不错的，值得收藏。,1,2,1,2,2,2,2,1
这红肉柚子挺新鲜的了，收到货马上开吃了果肉饱满水份充足的，而且快递太给力了，下单才两天就收到了呢。,1,2,2,2,2,2,2,1
发的顺丰快递，两天就到了，味道很甜，水分也很足，买的中果斤，一共个，还不错价格也不贵，吃完再回购,2,1,1,2,2,2,2,1
柚子好吃，皮非常的薄，口味也不错,1,2,1,2,2,2,2,1
刚刚吃了几口，总体感觉还不错，柚子皮很薄，口感微甜很脆，拌沙拉吃,2,1,1,2,2,2,2,1
我买了一箱觉得很好吃就又买了一寄回去给我母亲，母亲打来电话说很好吃很新鲜不错，叫我以后还买这家的，真心觉得很好良心商家。,2,2,1,2,2,2,1,1
红心肉蜜柚，三个大大的柚子，剥开皮薄肉厚，皮也带点红色，果肉红红的，水份足，果肉厚，九分甜，一分酸，很好吃，发货，快递速度都很快。,1,2,2,2,2,1,2,1
再次跨年购买，中秋节前寄到，发货速度快，值得推荐！,2,2,2,2,2,2,2,1
柚子很新鲜，水分也很足，味道还好,1,1,2,2,2,2,2,1
柚子新鲜也很好吃,1,2,2,2,2,2,2,1
价格便宜，质量还算可以，发货速度比较快，给个好评吧！价格便宜，质量还算可以，发货速度比较快，给个好评吧！,2,2,1,2,2,2,2,1
梅州柚子还可以，皮厚了肉的水份不是很好，其他都感觉还可以吧。,1,2,2,2,2,2,2,1
物流快，果肉鲜红多汁，不酸,2,2,2,2,2,1,2,1
收到了柚子，好吃，还不错，快递给家里人吃的,1,2,1,2,2,2,2,1
习惯性好评。选的是个的，本以为个小点的两个大大的可是为什么第一个是白肉的呢？如果是现摘的不应该一个白一个红呀一棵树上不应该都是一个品种的么？哎还好不是送人不然就尴尬了！,2,2,2,2,2,2,2,1
很大个，很甜，肉很多，一直买这里的，品质有保证,2,2,1,2,2,2,2,1
哎，就是不怎么甜一般吧！,2,2,2,2,2,2,2,1
个大！新鲜！味道鲜甜可口回甘！,2,1,1,2,2,2,2,1
肉不红，没水分，一点甜味没有，酸的不要不要的，与宣传图片严重不符,2,2,2,2,2,2,2,0
广东梅州柚子早有耳闻，以前也吃过，现在网上可以买到正宗梅州柚子了，非常开心！,1,2,2,2,2,2,2,1
买来中秋节吃里，看看这皮有多厚，果只有拳头那么大，还又酸又苦。看下图。,2,2,2,2,2,2,2,1
一个可以吃，另一个是稍味！,2,2,2,2,2,2,2,0
好大啊,2,2,2,2,2,2,2,1
发货快，水分足，不酸,1,2,2,2,2,1,2,1
太坑了，就两个，还到个那我还不如买两个的价格,2,2,2,2,2,2,2,1
最满意的一次购物，梅州柚果然不负所望，入口甜，水分足且肉质细腻，颗颗饱满，已经推荐给亲朋好友，良心商家值得点赞,1,2,1,2,2,2,1,1
酸甜适当，就是这个味道，很鲜的，喜欢。等家里人星期六全部回来，吃过都适合的话，再买。这次购买的用一半京豆买单，下次就不行了。,2,2,2,2,2,2,2,1
酸酸甜甜我的最爱，一口咬下去满口都是肉，老妈说这柚子有下火的功效，柚子吃完了柚子皮还可以拿来做一道菜。,2,2,2,2,2,2,2,1
味道很好挺甜的，重量足够价格还实惠，下次再来,2,1,1,2,2,2,2,1
物流很快，收到迫不及待的打开一个，满屋子都散发出阵阵的柚子清香。今年吃的第一个柚子，本以为未熟，完全超乎我的想象，味道更正，价格实惠，性价比高，值得购买,2,2,1,2,2,1,2,1
柚子很好很新鲜，红肉的，汁多味清甜，比水果店便宜，吃完还会买，服务好,1,2,1,2,2,2,2,1
收到的密柚很好，很满意。物流快，定要分享给我的朋友。物美价廉，感谢商家，祝商家生意兴隆！,2,2,2,2,2,1,1,1
很好很棒，比外面买的便宜多了！还送货上门！还会买的哦！,2,2,2,2,2,2,2,1
柚子真心不错快递很快买了斤共三个收到时没有任何问题邮政快递打开后柚子外观亮泽新鲜打开后果肉饱满多汁甜度刚好一个柚子适合四五个人吃值得购买,1,1,1,2,2,2,2,1
柚子挺不错的，口感非常的好，酸酸甜甜的，适合大众的口味，值得购买和推荐,1,1,2,2,2,2,2,1
柚子好吃，味道很好，很甜，水分很足，酸酸甜甜的,1,1,2,2,2,2,2,1
已经收到，物流很快，这一点好评！商品还没有熟故一点味道都没有。只能够说基本满意好评！,2,2,2,2,2,2,2,1
好评好评，一般懒得写评价的，皮薄肉厚，家里人说很不错，足称，,2,2,1,2,2,2,2,1
不错，很好，好吃得不得不评价，好评好评！！！！,2,2,1,2,2,2,2,1
汁水饱满，肉挺多的，对于糖尿病患者，老人，小朋友都是很好的水果，建议多吃柚子，少吃太甜的水果,2,2,2,2,2,2,2,1
很好，味道还不错，水份也足，下次再来购买,2,1,2,2,2,2,2,1
果子很大个，果肉很饱满，酸甜适中，今年吃过最好吃的柚子必须给个大大的赞。已回购斤,1,2,2,1,2,2,2,1
每年必买的梅州柚子，很好吃,1,2,2,2,2,2,2,1
每年必买的梅州柚子，非常好吃,1,2,2,2,2,2,2,1
很好很不错的柚子。很好吃的。很赞。,1,2,2,2,2,2,2,1
好吃，个大水分足，酸甜度很好。比超市买的好吃多了,1,2,2,2,2,2,2,1
非常红，皮不算太厚，可以接受，kg合适，一共两个，口感也是可以的，下次还来你家买。,2,2,2,2,2,2,2,1
真的特别甜，个头也大！值得回头继续买了,2,2,2,1,2,2,2,1
梅州红心蜜柚收到了，大小合适每个公斤左右，品质不错味道也很好水多，甜甜酸酸味道极好。,2,1,2,1,2,2,2,1
好吃。回购很多次了。就买大果。甜甜的。一点不酸的。又不是很甜的那种。好不容易吃到家里的柚子。挺喜欢的。一直在这家店买。其他店也买过，感觉没有这好。,2,2,2,2,2,2,2,1
在评论区的推荐下，第一次买这东东。一口气买了这么多个大果。外观看起来不错，个头也还可以，只有一个有点小。还送了个开果小工具，真心不错。开果吃了，味道很好，纯甜。,2,1,1,2,2,2,2,1
还是沙田柚好吃，保存时间长，非常不错的，发货速度很快，物流配送速度也很快，价格合理，非常不错的，支持一下，很好吃的，沙田柚很不错！,2,2,1,2,2,1,2,1
包装箱非常结实，物流很快，下单后两天就到了，打开箱子有沙田柚的清香，买的斤，一共三个，有一个超级大哈哈，其余两个也不小，很新鲜，青黄青黄的，放一段时间再吃哈，价格很实惠，比在超市买便宜挺多的，总的来说非常好，好吃介绍给朋友们，分享好吃的水果哈哈！,2,2,1,1,2,2,2,1
朋友推荐的下单，味道不错的，值得推荐一下，感觉是挺好的，很正宗的梅州特产，沙田柚的味道真的好甜，闻起来也很香，肉质细腻很好的，放久一点再吃的味道更好，活动价格优惠多多的哦！,2,1,1,2,2,2,1,1
这家的柚子买过很多次了，沙田柚非常好吃，是那种甜度比较高，而且水分也不错的。不像外面有的沙田柚很干。几乎每一年都在这一家去买，难得今年上货比较早，赶快来尝新。下单的时候害怕都是绿的，到家打开来一看，基本上都是成熟的果子非常棒,1,1,2,2,2,2,2,1
在网上找了好久终于找到沙田柚了非常好吃味道很清甜没有一点酸两个都是中大果买回来没两天都被吃完了会继续回购的,2,1,2,2,2,2,2,1
在京东购物真的太方便了，第一天发货，基本上第二天就能送货，以前从未认真评价过，但这个商品必须要评一下，梅州沙田柚开始还很担心不好吃，但收到货的确非常不错，很甜，总之是非常满意。,2,2,1,2,2,1,2,1
这个沙田柚非常的好吃，保存时间很长，两三个月是没有问题的，非常不错的很好吃，物流配送速度很快的，两千多公里三天就到了，非常不错的，支持一下！,2,2,1,2,2,1,2,1
超级好用，卖家很给力，物超所值，比超市便宜好多。趁着双十一有活动赶快囤起来，京东物流很给力，超级快，服务也好，支持京东，支持在网上买，太合适了,2,2,2,2,2,2,1,1
泛苦，真是晕死，不好吃，总共三个,2,2,2,2,2,2,2,0
纯甜不酸，正宗沙田柚味道。,2,2,2,2,2,2,2,1
东西收到朋友说非常好吃谢谢商家也谢谢快递小哥辛苦了｡heartshearts｡｡heartshearts｡,2,2,2,2,2,2,1,1
非常喜欢，不带酸的，也不是甜到腻的，非常清爽的，就一个了,2,2,2,2,2,2,2,1
买了一份，有四个柚子，前三个还不错，果香蛮浓也好吃，单但最后一个没味道，还有点苦，不记得怎么回事，希望发货的时候注意甄别吧,2,2,1,2,2,1,2,1
我后悔了。后悔没多买几箱，拿回来第一天当场全家吃了个半，儿子拿了两个剥好的去学校分享。就给我的快乐就只有个，相当于只剩下了天的口粮。话说回来，老板能不能放一张的优惠券在斤果那里（可叠加），我再买箱。谢谢。,2,2,2,2,2,2,2,1
柚子非常好吃，最正宗的沙甜柚。,1,2,2,2,2,2,2,1
最好吃的柚子，很新鲜，很甜，很好吃，每年都会买,1,2,2,2,2,2,2,1
最好吃的柚子。很甜。个头很大，很甜。每年都会买,1,2,2,1,2,2,2,1
快递包装很严密，也很仔细，没有破损和坏件。快递员送货上门很快，服务态度很好，快递还是不错的。柚子还是很新鲜，味道很不错的。值得购买！,2,1,1,2,1,1,1,1
不甜。放了好多天还是不甜,2,2,2,2,2,2,2,0
新鲜多汁，物流完整无损，果肉颗颗饱满，甜度超标适中，儿子一口气可以吃两个！非常不错，下次再回购！,2,2,1,2,2,1,2,1
甜爽可口、水分充足。每次都买的大果，家人都很喜欢吃。一次买够斤,1,2,2,1,2,2,2,1
还不错，八个柚子，很甜！,1,2,1,2,2,2,2,1
柚子还不错，水份很多肉也比较多。关键是不苦不涩，之前买的柚子要么很酸要么干巴巴没水份,1,2,2,2,2,2,2,1
已经多次购买了，之前就买过，外观良好，质量上乘，是比较有品质的东西，性价比高，同事物流快速，用挑剔的眼光，这确实是值得购买的产品，推荐给大家。,2,2,1,2,2,1,2,1
感觉没有去年的那么甜，不知道是不是因为现在还早。,2,2,2,2,2,2,2,1
去年就买这家，不过今年的稍微有一点苦头。,2,2,2,2,2,2,2,1
这沙田柚名不符实，味太淡，汁水太少，甜味欠缺，估计再没购买之欲望。！,2,2,2,2,2,2,2,1
在网上找了很久很久最后选了这家等了好久好久终于到了到了立刻拆开晚上吃完饭后大家一起开来吃很好吃个个都是好评感觉下次可以买更多希望能做些活动～,2,2,2,2,2,2,2,1
梅州沙田柚非常好吃，每一年都必买几十斤回来放着慢慢吃，开始收到货的时候，沙田柚看起来是绿色的，但是吃起来味道已经是甜的了，而且放的时间越久越甜，越好吃。值得推荐。,2,2,2,2,2,2,2,1
个，差不多元多一个，大小适中，水份挺足，味道甜，无酸味。今年的新果，看着很新鲜。预购的，准时发货了，快递速度也不错，态度也好。,2,1,1,1,2,1,1,1
